MSO Group Name,Shop,WeekEndingCY,Net Sales - CY,Sales / Day,Net Sales - PY,Net Sales - YoY %,CPD,CPD - PY,Cars,Cars - PY,Cars - YoY %,Discounts $ - CY,Discounts % - CY,Discounts per Car - CY,Net ARO - CY,Net ARO - PY,Net ARO - YoY %,Prem Oil % - CY,Premium Oil % - PY,High Mileage Opportunity - CY,Big 5 % - CY,Air Filter % - CY,Wiper Blades % - CY,Premium Wiper Blades % - CY,Cabin Filter % - CY,Coolant % - CY,Fuel System Cleaner % - CY ,Oil Change Ticket Average - CY,BayTime,Customers New % - CY,Customers Repeat % - CY,Emission Tickets - CY,Emission Gross ARO - CY,Emissions with Oil Change Tickets - CY,Emissions with Big 5 % - CY,Emissions Penetration %,Fleet % of Oil Changes - CY,Fleet % of Oil Changes - PY,Fleet ARO - CY,Fleet Discount $ - CY,Fleet Discount % - CY,Fleet Net Sales - CY,Fleet Oil Changes - CY
WSM Ventures,1201,6/22/2024,"$20,710.02","$2,959","$18,880.95",9.7%,31.1,26.9,218,188,16.0%,"$3,142.36",13.2%,$14.41,$95.00,$100.43,-5.4%,92.2%,84.6%,0.0%,37.2%,19.3%,6.9%,2.3%,6.9%,3.2%,0.9%,$93.70,9.0,28.2%,71.9%,0,$0.00,0,0.0%,0.0%,3.2%,9.6%,$97.70,$155.38,18.5%,$683.88,7
WSM Ventures,1202,6/22/2024,"$31,580.68","$4,512","$33,371.67",-5.4%,40.9,43.7,286,306,-6.5%,"$4,305.96",12.0%,$15.06,$110.42,$109.06,1.3%,88.8%,85.3%,0.0%,69.6%,31.1%,8.7%,4.5%,23.1%,5.2%,1.4%,$109.51,9.4,23.4%,74.7%,0,$0.00,0,0.0%,0.0%,3.1%,1.0%,$160.36,$398.56,21.6%,"$1,443.20",9
WSM Ventures,1203,6/22/2024,"$20,338.28","$2,905","$14,403.27",41.2%,27.4,21.6,192,151,27.2%,"$2,096.49",9.3%,$10.92,$105.93,$95.39,11.1%,90.6%,80.1%,0.0%,56.3%,17.2%,10.4%,5.2%,12.5%,6.3%,9.9%,$104.89,11.6,29.5%,65.6%,0,$0.00,0,0.0%,0.0%,15.1%,9.9%,$86.22,$667.83,21.1%,"$2,500.26",29
WSM Ventures,1204,6/22/2024,"$23,038.16","$3,291","$19,663.20",17.2%,32.0,26.7,224,187,19.8%,"$2,185.94",8.7%,$9.76,$102.85,$105.15,-2.2%,88.4%,86.1%,0.0%,43.3%,18.3%,4.5%,2.2%,9.4%,4.9%,6.3%,$102.59,11.8,43.8%,60.5%,2,$70.71,1,0.0%,0.9%,2.2%,1.6%,$94.90,$68.89,12.7%,$474.49,5
WSM Ventures,1205,6/22/2024,"$30,185.97","$4,312","$28,082.86",7.5%,42.3,41.6,296,291,1.7%,"$3,882.84",11.4%,$13.12,$101.98,$96.50,5.7%,87.8%,80.1%,0.0%,53.4%,17.9%,7.8%,4.1%,9.1%,8.4%,10.1%,$100.54,8.7,30.6%,65.9%,0,$0.00,0,0.0%,0.0%,10.5%,4.8%,$93.21,$925.82,24.3%,"$2,889.66",31
WSM Ventures,1206,6/22/2024,"$20,540.92","$2,934","$14,858.78",38.2%,29.6,19.3,207,135,53.3%,"$3,534.43",14.7%,$17.07,$99.23,$110.07,-9.8%,93.2%,89.6%,0.0%,40.6%,21.7%,1.4%,0.5%,5.8%,6.8%,4.8%,$98.45,10.5,34.1%,66.9%,0,$0.00,0,0.0%,0.0%,1.9%,3.7%,$121.49,$42.42,8.0%,$485.94,4
WSM Ventures,1207,6/22/2024,"$16,544.20","$2,363","$14,362.34",15.2%,26.0,21.6,182,151,20.5%,"$2,807.34",14.5%,$15.42,$90.90,$95.11,-4.4%,87.4%,78.8%,0.0%,40.1%,15.9%,7.1%,1.1%,7.7%,2.2%,7.1%,$89.93,10.0,31.4%,70.2%,0,$0.00,0,0.0%,0.0%,5.5%,11.3%,$80.32,$360.40,31.0%,$803.23,10
WSM Ventures,1598,6/22/2024,"$17,103.01","$2,443","$15,372.34",11.3%,24.1,23.9,169,167,1.2%,"$2,343.57",12.1%,$13.87,$101.20,$92.05,9.9%,87.0%,80.8%,0.0%,51.5%,17.8%,8.9%,5.3%,14.2%,4.1%,6.5%,$99.24,10.4,26.8%,75.0%,0,$0.00,0,0.0%,0.0%,18.3%,21.0%,$99.63,$885.69,22.3%,"$3,088.59",31
WSM Ventures,1599,6/22/2024,"$20,255.15","$2,894","$24,928.22",-18.7%,29.0,34.0,203,238,-14.7%,"$2,815.28",12.2%,$13.87,$99.78,$104.74,-4.7%,95.6%,89.1%,0.0%,48.8%,22.2%,4.4%,3.4%,15.3%,3.0%,3.9%,$99.42,12.3,19.0%,76.3%,0,$0.00,0,0.0%,0.0%,5.4%,2.1%,$89.48,$364.29,27.0%,$984.23,11
WSM Ventures,1600,6/22/2024,"$18,608.94","$2,658","$16,128.98",15.4%,28.6,24.4,200,171,17.0%,"$4,610.75",19.9%,$23.05,$93.04,$94.32,-1.4%,86.0%,80.7%,0.0%,49.0%,17.0%,6.0%,4.0%,6.5%,12.0%,7.5%,$91.42,11.4,22.8%,76.5%,0,$0.00,0,0.0%,0.0%,14.5%,12.9%,$85.51,$857.44,25.7%,"$2,479.85",29
WSM Ventures,1198,6/29/2024,"$25,871.40","$3,696","$31,861.59",-18.8%,36.1,42.4,253,297,-14.8%,"$4,287.76",14.2%,$16.95,$102.26,$107.28,-4.7%,98.4%,83.2%,0.0%,54.5%,17.0%,3.6%,0.4%,13.4%,15.8%,4.7%,$97.97,12.2,22.2%,74.4%,0,$0.00,0,0.0%,0.0%,4.0%,5.7%,$65.19,$208.78,24.3%,$651.93,10
WSM Ventures,1199,6/29/2024,"$29,755.86","$4,251","$23,217.09",28.2%,40.7,35.4,285,248,14.9%,"$3,356.54",10.1%,$11.78,$104.41,$93.62,11.5%,85.3%,82.7%,0.0%,54.7%,22.5%,9.8%,3.9%,11.9%,4.6%,6.0%,$102.87,10.7,26.9%,72.7%,0,$0.00,0,0.0%,0.0%,3.9%,4.8%,$92.00,$236.63,19.0%,"$1,012.03",11
WSM Ventures,1200,6/29/2024,"$32,725.00","$4,675","$25,916.75",26.3%,44.0,35.7,308,250,23.2%,"$3,272.47",9.1%,$10.62,$106.25,$103.67,2.5%,87.7%,78.8%,0.0%,39.0%,14.6%,5.8%,3.6%,2.3%,4.9%,11.4%,$102.86,10.1,29.3%,72.0%,89,$43.78,22,0.0%,28.9%,1.6%,1.2%,$117.54,$71.65,10.9%,$587.70,5
WSM Ventures,1201,6/29/2024,"$24,969.51","$3,567","$23,033.37",8.4%,32.0,32.0,224,224,0.0%,"$3,851.95",13.4%,$17.20,$111.47,$102.83,8.4%,96.4%,90.2%,0.0%,62.5%,26.8%,6.3%,4.9%,13.4%,11.6%,4.5%,$109.24,10.0,33.9%,71.2%,0,$0.00,0,0.0%,0.0%,1.3%,4.9%,$118.81,$57.47,13.9%,$356.44,3
WSM Ventures,1202,6/29/2024,"$36,890.53","$5,270","$32,791.53",12.5%,46.9,46.1,328,323,1.5%,"$3,957.66",9.7%,$12.07,$112.47,$101.52,10.8%,91.5%,84.8%,0.0%,64.6%,32.0%,8.5%,4.6%,22.3%,1.2%,0.6%,$110.33,9.7,26.8%,74.3%,0,$0.00,0,0.0%,0.0%,3.4%,1.5%,$146.99,$131.55,7.5%,"$1,616.92",11
WSM Ventures,1203,6/29/2024,"$18,353.06","$2,622","$15,280.26",20.1%,29.1,21.3,204,149,36.9%,"$5,414.74",22.8%,$26.54,$89.97,$102.55,-12.3%,92.6%,87.2%,0.0%,53.4%,21.1%,7.8%,2.0%,11.8%,3.4%,9.3%,$89.83,11.4,30.1%,67.6%,0,$0.00,0,0.0%,0.0%,12.7%,12.1%,$93.39,$745.24,23.5%,"$2,428.12",26
WSM Ventures,1204,6/29/2024,"$25,030.05","$3,576","$19,398.52",29.0%,32.3,25.7,226,180,25.6%,"$2,315.41",8.5%,$10.25,$110.75,$107.77,2.8%,90.3%,87.2%,0.0%,61.5%,25.2%,11.5%,7.5%,12.4%,6.2%,6.2%,$109.46,12.8,37.8%,59.7%,5,$26.80,0,20.0%,2.2%,1.8%,1.7%,$102.22,$36.02,8.1%,$408.86,4
WSM Ventures,1205,6/29/2024,"$32,602.02","$4,657","$25,487.75",27.9%,44.3,37.1,310,260,19.2%,"$3,602.88",10.0%,$11.62,$105.17,$98.03,7.3%,88.7%,83.8%,0.0%,55.8%,15.8%,8.1%,3.5%,9.4%,10.0%,12.6%,$103.21,9.6,29.1%,66.3%,0,$0.00,0,0.0%,0.0%,13.2%,8.8%,$82.36,"$1,163.37",25.6%,"$3,376.72",41
WSM Ventures,1206,6/29/2024,"$24,292.05","$3,470","$22,216.47",9.3%,32.0,27.7,224,194,15.5%,"$3,747.16",13.4%,$16.73,$108.45,$114.52,-5.3%,95.1%,95.4%,0.0%,52.7%,21.4%,7.1%,5.4%,13.4%,5.4%,5.4%,$107.89,10.7,29.2%,67.6%,0,$0.00,0,0.0%,0.0%,7.1%,0.5%,$82.11,$873.56,39.9%,"$1,313.81",16
WSM Ventures,1207,6/29/2024,"$20,378.33","$2,911","$19,160.13",6.4%,30.1,28.1,211,197,7.1%,"$3,124.82",13.3%,$14.81,$96.58,$97.26,-0.7%,86.3%,82.7%,0.0%,53.1%,20.9%,8.1%,1.9%,10.0%,4.3%,10.0%,$95.09,10.5,26.5%,70.1%,0,$0.00,0,0.0%,0.0%,6.6%,6.1%,$79.95,$490.00,30.4%,"$1,119.29",14
WSM Ventures,1598,6/29/2024,"$15,255.38","$2,179","$16,163.03",-5.6%,20.6,24.1,144,169,-14.8%,"$2,050.80",11.9%,$14.24,$105.94,$95.64,10.8%,81.9%,78.1%,0.0%,61.8%,16.0%,13.2%,10.4%,16.7%,3.5%,12.5%,$102.90,10.7,25.5%,75.5%,0,$0.00,0,0.0%,0.0%,12.5%,13.0%,$97.84,$534.68,23.3%,"$1,761.15",18
WSM Ventures,1599,6/29/2024,"$19,539.79","$2,791","$26,487.71",-26.2%,26.1,37.9,183,265,-30.9%,"$1,744.56",8.2%,$9.53,$106.77,$99.95,6.8%,91.8%,81.5%,0.0%,59.0%,22.4%,9.3%,7.7%,19.7%,3.3%,4.4%,$106.58,12.7,23.4%,75.3%,0,$0.00,0,0.0%,0.0%,2.2%,6.0%,$113.14,$85.49,15.9%,$452.55,4
WSM Ventures,1600,6/29/2024,"$15,365.35","$2,195","$16,239.28",-5.4%,20.6,25.3,144,177,-18.6%,"$1,734.13",10.1%,$12.04,$106.70,$91.75,16.3%,91.0%,79.1%,0.0%,52.8%,18.1%,6.9%,2.8%,9.0%,11.8%,6.9%,$105.55,11.7,21.5%,77.6%,0,$0.00,0,0.0%,0.0%,14.6%,14.1%,$99.70,$604.06,22.4%,"$2,093.73",21
WSM Ventures,1198,7/6/2024,"$23,787.43","$3,965","$25,390.49",-6.3%,41.5,42.7,249,256,-2.7%,"$4,447.71",15.8%,$17.86,$95.53,$99.18,-3.7%,97.6%,84.8%,0.0%,45.8%,14.9%,6.4%,4.4%,8.8%,9.6%,6.0%,$93.06,10.7,29.0%,74.8%,0,$0.00,0,0.0%,0.0%,6.0%,9.4%,$105.08,$636.22,28.8%,"$1,576.24",15
WSM Ventures,1199,7/6/2024,"$22,696.04","$3,783","$24,248.22",-6.4%,34.8,41.0,209,246,-15.0%,"$2,209.33",8.9%,$10.57,$108.59,$98.57,10.2%,87.6%,81.3%,0.0%,59.3%,27.8%,10.0%,4.8%,11.5%,3.3%,6.7%,$107.82,10.6,28.7%,72.4%,0,$0.00,0,0.0%,0.0%,2.4%,2.8%,$162.98,$66.86,7.6%,$814.90,5
WSM Ventures,1200,7/6/2024,"$24,370.73","$4,062","$21,340.22",14.2%,38.5,34.7,231,208,11.1%,"$2,008.30",7.6%,$8.69,$105.50,$102.60,2.8%,85.3%,83.2%,0.0%,29.0%,8.7%,3.9%,3.5%,2.6%,3.5%,10.4%,$101.31,10.4,29.9%,72.0%,79,$41.27,19,0.0%,34.2%,1.3%,1.9%,$82.18,$35.38,12.5%,$246.54,3
WSM Ventures,1201,7/6/2024,"$22,230.82","$3,705","$15,911.99",39.7%,33.7,28.7,202,172,17.4%,"$3,312.68",13.0%,$16.40,$110.05,$92.51,19.0%,94.6%,86.0%,0.0%,59.4%,23.8%,5.0%,3.0%,11.4%,10.9%,8.4%,$108.12,9.9,30.6%,69.4%,0,$0.00,0,0.0%,0.0%,2.0%,7.6%,$96.51,$132.86,25.6%,$386.03,4
WSM Ventures,1202,7/6/2024,"$30,480.93","$5,080","$31,159.59",-2.2%,45.2,49.0,271,294,-7.8%,"$3,942.37",11.5%,$14.55,$112.48,$105.99,6.1%,89.3%,86.4%,0.0%,70.8%,31.0%,8.9%,4.8%,28.4%,2.6%,0.0%,$111.18,11.1,28.4%,73.3%,0,$0.00,0,0.0%,0.0%,3.7%,2.4%,$130.79,$578.09,30.7%,"$1,307.90",10
WSM Ventures,1203,7/6/2024,"$17,738.21","$2,956","$13,592.90",30.5%,28.5,25.3,171,152,12.5%,"$2,009.81",10.2%,$11.75,$103.73,$89.43,16.0%,88.9%,79.6%,0.0%,62.6%,25.7%,9.4%,3.5%,11.1%,5.8%,10.5%,$103.37,11.2,41.3%,65.8%,0,$0.00,0,0.0%,0.0%,17.0%,12.5%,$88.26,$762.27,22.9%,"$2,559.57",29
WSM Ventures,1204,7/6/2024,"$23,726.81","$3,954","$16,098.80",47.4%,34.2,24.8,205,149,37.6%,"$2,142.18",8.3%,$10.45,$115.74,$108.05,7.1%,89.3%,89.3%,0.0%,63.9%,28.3%,9.3%,6.3%,13.7%,8.3%,4.4%,$114.26,13.5,33.8%,61.0%,3,$63.96,1,33.3%,1.5%,5.4%,1.3%,$109.55,$225.60,15.8%,"$1,205.00",11
WSM Ventures,1205,7/6/2024,"$23,626.82","$3,938","$20,150.92",17.2%,39.2,37.0,235,222,5.9%,"$2,854.44",10.8%,$12.15,$100.54,$90.77,10.8%,87.7%,82.9%,0.0%,54.5%,14.5%,11.9%,6.4%,9.8%,6.4%,11.9%,$99.04,9.5,32.3%,67.3%,0,$0.00,0,0.0%,0.0%,12.3%,4.5%,$74.97,$624.71,22.3%,"$2,174.21",29
WSM Ventures,1206,7/6/2024,"$20,973.14","$3,496","$15,078.53",39.1%,34.0,24.2,204,145,40.7%,"$2,777.86",11.7%,$13.62,$102.81,$103.99,-1.1%,90.7%,93.1%,0.0%,43.1%,21.1%,6.9%,4.4%,7.4%,3.9%,3.9%,$102.29,10.0,31.2%,68.3%,0,$0.00,0,0.0%,0.0%,3.9%,4.8%,$90.07,$397.59,35.6%,$720.58,8
WSM Ventures,1207,7/6/2024,"$17,833.81","$2,972","$13,372.59",33.4%,31.8,25.5,191,153,24.8%,"$2,340.40",11.6%,$12.25,$93.37,$87.40,6.8%,85.3%,71.9%,0.0%,39.3%,15.7%,3.7%,1.6%,6.8%,2.1%,11.0%,$91.87,9.5,30.8%,70.0%,0,$0.00,0,0.0%,0.0%,2.1%,14.4%,$83.32,$79.63,19.3%,$333.28,4
WSM Ventures,1598,7/6/2024,"$12,834.98","$2,139","$14,331.01",-10.4%,20.7,27.3,124,164,-24.4%,"$1,437.60",10.1%,$11.59,$103.51,$87.38,18.5%,87.9%,72.6%,0.0%,54.8%,17.7%,9.7%,4.8%,9.7%,5.6%,12.1%,$102.10,10.4,27.7%,74.6%,0,$0.00,0,0.0%,0.0%,7.3%,19.5%,$80.60,$277.57,27.7%,$725.42,9
WSM Ventures,1599,7/6/2024,"$18,268.37","$3,045","$21,907.30",-16.6%,30.2,35.0,181,210,-13.8%,"$2,378.78",11.5%,$13.14,$100.93,$104.32,-3.2%,84.5%,89.0%,0.0%,55.2%,25.4%,7.2%,4.4%,16.6%,3.9%,2.2%,$99.84,12.4,27.3%,75.0%,0,$0.00,0,0.0%,0.0%,5.0%,5.7%,$85.20,$280.94,26.8%,$766.77,9
WSM Ventures,1600,7/6/2024,"$12,669.94","$2,112","$13,758.60",-7.9%,19.5,24.8,117,149,-21.5%,"$1,863.06",12.8%,$15.92,$108.29,$92.34,17.3%,88.0%,78.5%,0.0%,63.2%,27.4%,11.1%,6.8%,10.3%,13.7%,0.9%,$105.90,11.3,21.2%,76.3%,0,$0.00,0,0.0%,0.0%,19.7%,17.4%,$97.84,$636.92,22.1%,"$2,250.37",23
WSM Ventures,1198,7/13/2024,"$26,079.85","$3,726","$24,401.92",6.9%,39.0,36.0,273,252,8.3%,"$4,134.80",13.7%,$15.15,$95.53,$96.83,-1.3%,97.4%,83.3%,0.0%,45.1%,16.1%,6.2%,1.5%,11.0%,8.1%,3.7%,$93.32,10.2,30.8%,73.0%,0,$0.00,0,0.0%,0.0%,7.0%,6.7%,$96.80,$700.71,27.6%,"$1,839.11",19
WSM Ventures,1199,7/13/2024,"$27,241.06","$3,892","$26,321.16",3.5%,38.3,37.4,268,262,2.3%,"$3,364.20",11.0%,$12.55,$101.65,$100.46,1.2%,78.4%,82.8%,0.0%,55.2%,23.9%,12.7%,8.2%,9.7%,4.1%,4.9%,$101.16,10.9,30.0%,71.3%,0,$0.00,0,0.0%,0.0%,2.6%,4.6%,$119.89,$136.51,14.0%,$839.22,7
WSM Ventures,1200,7/13/2024,"$28,922.50","$4,132","$23,555.46",22.8%,38.7,34.4,271,241,12.4%,"$2,451.39",7.8%,$9.05,$106.73,$97.74,9.2%,90.8%,77.6%,0.0%,33.2%,12.5%,5.2%,3.7%,4.4%,3.3%,7.0%,$102.18,9.9,29.9%,70.7%,81,$40.22,17,2.5%,29.9%,2.2%,4.1%,$88.99,$111.92,17.3%,$533.91,6
WSM Ventures,1201,7/13/2024,"$24,520.09","$3,503","$20,792.73",17.9%,31.7,30.0,222,210,5.7%,"$3,214.08",11.6%,$14.48,$110.45,$99.01,11.6%,95.0%,85.2%,0.0%,59.0%,28.4%,2.7%,1.8%,9.5%,12.6%,5.9%,$108.81,9.9,29.1%,70.5%,0,$0.00,0,0.0%,0.0%,2.7%,5.2%,$85.81,$127.95,19.9%,$514.86,6
WSM Ventures,1202,7/13/2024,"$31,637.35","$4,520","$28,092.24",12.6%,40.4,40.4,283,283,0.0%,"$3,216.99",9.2%,$11.37,$111.79,$99.27,12.6%,90.5%,81.3%,0.0%,68.2%,28.6%,6.7%,2.5%,32.2%,0.7%,0.0%,$110.99,10.4,22.7%,73.5%,0,$0.00,0,0.0%,0.0%,2.8%,2.8%,$134.80,$155.23,12.6%,"$1,078.42",8
WSM Ventures,1203,7/13/2024,"$15,526.58","$2,218","$14,443.52",7.5%,22.9,20.9,160,146,9.6%,"$1,823.70",10.5%,$11.40,$97.04,$98.93,-1.9%,85.6%,88.4%,0.0%,47.5%,20.6%,10.0%,3.1%,5.6%,1.9%,9.4%,$96.87,12.4,34.7%,64.6%,0,$0.00,0,0.0%,0.0%,17.5%,9.6%,$87.76,$683.52,21.8%,"$2,457.30",28
WSM Ventures,1204,7/13/2024,"$24,954.07","$3,565","$18,722.26",33.3%,34.6,26.1,242,183,32.2%,"$2,297.96",8.4%,$9.50,$103.12,$102.31,0.8%,84.7%,82.5%,0.0%,45.0%,19.0%,5.0%,2.1%,12.4%,4.5%,4.1%,$102.69,12.5,39.7%,61.3%,4,$118.85,3,0.0%,1.7%,1.2%,1.6%,$102.33,$19.13,5.9%,$307.00,3
WSM Ventures,1205,7/13/2024,"$33,925.17","$4,846","$22,064.79",53.8%,46.3,31.9,324,223,45.3%,"$3,512.58",9.4%,$10.84,$104.71,$98.95,5.8%,90.4%,88.8%,0.0%,56.5%,21.6%,9.3%,5.9%,6.5%,7.1%,12.0%,$102.89,9.3,33.1%,65.7%,0,$0.00,0,0.0%,0.0%,13.0%,5.8%,$78.19,$928.97,22.1%,"$3,283.85",42
WSM Ventures,1206,7/13/2024,"$18,965.39","$2,709","$16,848.78",12.6%,27.9,22.6,195,158,23.4%,"$2,791.45",12.8%,$14.32,$97.26,$106.64,-8.8%,92.3%,88.6%,0.0%,32.8%,16.4%,6.2%,4.1%,5.6%,1.5%,3.1%,$97.26,11.0,35.6%,67.1%,0,$0.00,0,0.0%,0.0%,5.1%,4.4%,$78.70,$635.55,44.7%,$787.01,10
WSM Ventures,1207,7/13/2024,"$16,631.19","$2,376","$16,183.19",2.8%,26.1,24.3,183,170,7.6%,"$2,448.92",12.8%,$13.38,$90.88,$95.20,-4.5%,87.4%,78.2%,0.0%,36.1%,12.6%,8.2%,2.7%,5.5%,2.2%,7.7%,$89.86,9.5,28.0%,68.8%,0,$0.00,0,0.0%,0.0%,6.6%,6.5%,$70.69,$372.82,30.5%,$848.23,12
WSM Ventures,1598,7/13/2024,"$13,960.88","$1,994","$15,238.03",-8.4%,19.1,23.1,134,162,-17.3%,"$1,810.85",11.5%,$13.51,$104.19,$94.06,10.8%,79.9%,78.4%,0.0%,59.7%,23.1%,14.2%,11.2%,8.2%,6.0%,8.2%,$103.17,11.1,22.6%,75.2%,0,$0.00,0,0.0%,0.0%,17.2%,14.2%,$86.83,$655.24,24.7%,"$1,997.10",23
WSM Ventures,1599,7/13/2024,"$21,353.10","$3,050","$22,307.81",-4.3%,27.7,32.4,194,227,-14.5%,"$2,434.86",10.2%,$12.55,$110.07,$98.27,12.0%,91.2%,87.2%,0.0%,71.6%,28.4%,10.8%,8.8%,20.6%,6.7%,5.2%,$108.62,13.8,22.0%,76.3%,0,$0.00,0,0.0%,0.0%,8.8%,3.1%,$106.96,$348.93,16.1%,"$1,818.39",17
WSM Ventures,1600,7/13/2024,"$13,414.65","$1,916","$14,498.47",-7.5%,19.0,23.0,133,161,-17.4%,"$1,598.01",10.6%,$12.02,$100.86,$90.05,12.0%,88.0%,77.6%,0.0%,45.9%,23.3%,6.8%,3.8%,6.8%,4.5%,4.5%,$99.30,11.3,23.3%,79.3%,0,$0.00,0,0.0%,0.0%,12.8%,13.0%,$78.36,$406.34,23.4%,"$1,332.09",17
WSM Ventures,1198,7/20/2024,"$23,862.53","$3,409","$28,202.85",-15.4%,36.6,41.7,256,292,-12.3%,"$3,772.70",13.7%,$14.74,$93.21,$96.59,-3.5%,97.7%,85.3%,0.0%,34.0%,14.8%,6.6%,2.7%,5.9%,3.9%,2.7%,$92.02,11.0,29.2%,72.4%,0,$0.00,0,0.0%,0.0%,5.5%,5.8%,$67.31,$463.21,33.0%,$942.35,14
WSM Ventures,1199,7/20/2024,"$27,364.72","$3,909","$27,119.35",0.9%,37.0,38.1,259,267,-3.0%,"$3,496.33",11.3%,$13.50,$105.66,$101.57,4.0%,86.9%,85.4%,0.0%,58.3%,24.7%,13.1%,9.3%,8.9%,3.9%,7.7%,$105.21,10.7,27.5%,72.6%,0,$0.00,0,0.0%,0.0%,3.9%,4.1%,$104.89,$284.68,21.3%,"$1,048.94",10
WSM Ventures,1200,7/20/2024,"$30,286.29","$4,327","$27,294.19",11.0%,37.9,38.6,265,270,-1.9%,"$2,858.75",8.6%,$10.79,$114.29,$101.09,13.1%,86.4%,78.5%,0.0%,59.2%,17.4%,9.8%,6.0%,10.6%,5.3%,16.2%,$110.73,11.0,25.4%,71.6%,84,$46.53,22,3.6%,31.7%,2.3%,3.7%,$119.66,$100.56,12.3%,$717.94,6
WSM Ventures,1201,7/20/2024,"$22,550.96","$3,222","$20,303.58",11.1%,29.1,29.6,204,207,-1.4%,"$3,326.25",12.9%,$16.31,$110.54,$98.08,12.7%,97.5%,85.0%,0.0%,57.8%,26.0%,3.9%,2.0%,10.3%,11.8%,5.9%,$108.80,10.2,27.6%,71.8%,0,$0.00,0,0.0%,0.0%,2.5%,7.2%,$93.84,$221.62,32.1%,$469.20,5
WSM Ventures,1202,7/20/2024,"$34,680.98","$4,954","$30,968.56",12.0%,43.3,44.9,303,314,-3.5%,"$4,103.65",10.6%,$13.54,$114.46,$98.63,16.1%,88.8%,82.8%,0.0%,70.0%,28.4%,9.2%,3.6%,28.7%,2.6%,1.0%,$114.01,10.6,27.3%,74.4%,0,$0.00,0,0.0%,0.0%,3.3%,1.9%,$119.08,$197.36,14.2%,"$1,190.79",10
WSM Ventures,1203,7/20/2024,"$18,538.64","$2,648","$15,164.53",22.3%,25.9,21.3,181,149,21.5%,"$2,118.27",10.3%,$11.70,$102.42,$101.78,0.6%,89.0%,86.6%,0.0%,58.0%,26.5%,10.5%,3.9%,6.1%,2.8%,12.2%,$100.90,12.4,30.2%,65.4%,0,$0.00,0,0.0%,0.0%,12.7%,10.1%,$92.69,$564.63,20.9%,"$2,131.96",23
WSM Ventures,1204,7/20/2024,"$25,997.18","$3,714","$18,298.92",42.1%,33.6,26.4,235,185,27.0%,"$2,186.22",7.8%,$9.30,$110.63,$98.91,11.8%,86.8%,88.1%,0.0%,57.9%,27.7%,6.0%,4.3%,14.5%,5.1%,4.7%,$109.88,12.5,37.0%,60.8%,2,$13.18,0,0.0%,0.9%,0.4%,1.1%,$84.57,$9.40,10.0%,$84.57,1
WSM Ventures,1205,7/20/2024,"$27,480.34","$3,926","$28,600.42",-3.9%,37.9,38.9,265,272,-2.6%,"$3,046.66",10.0%,$11.50,$103.70,$105.15,-1.4%,84.5%,88.2%,0.0%,51.7%,18.1%,5.3%,3.0%,11.7%,9.1%,7.5%,$102.70,9.5,36.2%,65.4%,0,$0.00,0,0.0%,0.0%,7.5%,5.5%,$89.43,$576.97,24.4%,"$1,788.66",20
WSM Ventures,1206,7/20/2024,"$18,296.71","$2,614","$18,359.43",-0.3%,27.3,22.1,191,155,23.2%,"$3,122.89",14.6%,$16.35,$95.79,$118.45,-19.1%,85.9%,93.5%,0.0%,43.5%,22.5%,6.3%,5.2%,9.4%,3.1%,2.1%,$94.27,10.1,31.6%,65.7%,0,$0.00,0,0.0%,0.0%,6.3%,2.6%,$97.33,$736.63,38.7%,"$1,167.90",12
WSM Ventures,1207,7/20/2024,"$18,976.13","$2,711","$16,100.29",17.9%,29.7,25.0,208,175,18.9%,"$2,852.91",13.1%,$13.72,$91.23,$92.00,-0.8%,82.2%,79.4%,0.0%,42.3%,17.8%,4.8%,2.4%,5.3%,1.9%,12.5%,$89.75,10.0,27.2%,70.2%,0,$0.00,0,0.0%,0.0%,6.7%,5.7%,$59.60,$419.88,33.5%,$834.33,14
WSM Ventures,1598,7/20/2024,"$14,680.37","$2,097","$15,022.40",-2.3%,20.3,22.7,142,159,-10.7%,"$1,586.35",9.8%,$11.17,$103.38,$94.48,9.4%,88.7%,77.4%,0.0%,54.9%,20.4%,11.3%,4.9%,12.0%,4.2%,7.0%,$103.12,10.4,23.8%,75.9%,0,$0.00,0,0.0%,0.0%,12.0%,18.2%,$99.98,$519.94,23.4%,"$1,699.63",17
WSM Ventures,1599,7/20/2024,"$16,056.82","$2,294","$19,816.96",-19.0%,22.0,29.6,154,207,-25.6%,"$2,681.22",14.3%,$17.41,$104.27,$95.73,8.9%,94.2%,84.1%,0.0%,63.0%,22.7%,5.2%,4.5%,18.8%,9.7%,6.5%,$102.68,15.3,20.1%,77.5%,0,$0.00,0,0.0%,0.0%,9.7%,6.3%,$78.81,$336.43,22.2%,"$1,182.15",15
WSM Ventures,1600,7/20/2024,"$13,695.43","$1,956","$15,330.68",-10.7%,19.3,24.0,135,168,-19.6%,"$1,922.00",12.3%,$14.24,$101.45,$91.25,11.2%,83.7%,75.6%,0.0%,54.8%,25.2%,11.1%,6.7%,7.4%,9.6%,1.5%,$99.66,11.2,22.2%,77.1%,0,$0.00,0,0.0%,0.0%,17.8%,14.3%,$92.51,$724.29,24.6%,"$2,220.17",24
